MAGPIID,RAcen,Deccen,Z
1206112328,180.166659093062,-1.44469825691729,0.328067044583084
1206147083,180.164690562278,-1.45833348601164,0.325622906505086
1206155210,180.164284527927,-1.45122004207328,0.328434053770464
1206192190,180.162224931792,-1.45236039063245,0.3270888490465
1206200067,180.161741554783,-1.45916124768084,0.32678331072416
1206220229,180.160667462407,-1.45025078463745,0.327822428123436
1206238209,180.159617182495,-1.45133627292439,0.325134618929552
1206287231,180.156955348794,-1.45007266339028,0.326600021497249
1206300210,180.156191950064,-1.45126792084413,0.324524512378608
1206317195,180.155260092637,-1.45211541105544,0.32653893071525
1206371090,180.152319762298,-1.45790463176374,0.32739445772974
