MAGPIID,RAcen,Deccen,Z
1206027262,180.171157133677,-1.44828277372556,0.271217901356994
1206042184,180.170638369572,-1.45269478006876,0.268177372484556
1206105178,180.167040220065,-1.45299315804078,0.267651865857846
1206106211,180.166936672162,-1.45119927169787,0.267943787094173
1206142246,180.164990094577,-1.44926644069855,0.265085855322452
1206146042,180.164751101125,-1.46062137684769,0.267710244727847
1206196304,180.162008538039,-1.44601169690126,0.267418377260446
1206258279,180.158567192528,-1.44744412391503,0.27104228824482
1206272203,180.157815852151,-1.45161229121249,0.268878386879308
1206283178,180.157131206685,-1.45299462864823,0.268002179407954
1206326290,180.154741613134,-1.44681761736452,0.27039858103395
